threshold_name,threshold,tp,fp,fn,tn,precision,recall,f1,fpr
p94.5,13.698747,11551,804,1282,8907,0.934925,0.900101,0.917183,0.082793
p99,19.522046,9929,432,2904,9279,0.958305,0.773708,0.856170,0.044486
