family,n_samples,auc_roc,auc_pr,auc_pr_baseline,recall_p94.5,recall_p99
dos,7458,0.977679,0.946636,0.434388,0.991150,0.855189
probe,2421,0.968147,0.851317,0.199555,0.956629,0.861627
r2l,2754,0.878697,0.659780,0.220939,0.634713,0.507988
u2r,200,0.888901,0.106593,0.020180,0.475000,0.330000
