subset,n,p50,p90,p95,p99
train_normal,57242,7.771890,11.956541,13.286953,16.259926
val_normal,10101,7.848031,12.316674,13.959220,19.522046
test_normal,9711,7.837734,13.133464,18.083127,32.325963
