family,n,mean_true_nll,mean_attribution_sum,mean_correlation_residual,nll[duration],nll[protocol_type],nll[service],nll[flag],nll[src_bytes],nll[dst_bytes],nll[land],nll[wrong_fragment],nll[urgent],nll[hot],nll[num_failed_logins],nll[logged_in],nll[num_compromised],nll[root_shell],nll[su_attempted],nll[num_root],nll[num_file_creations],nll[num_shells],nll[num_access_files],nll[is_host_login],nll[is_guest_login],nll[count],nll[srv_count],nll[serror_rate],nll[srv_serror_rate],nll[rerror_rate],nll[srv_rerror_rate],nll[same_srv_rate],nll[diff_srv_rate],nll[srv_diff_host_rate],nll[dst_host_count],nll[dst_host_srv_count],nll[dst_host_same_srv_rate],nll[dst_host_diff_srv_rate],nll[dst_host_same_src_port_rate],nll[dst_host_srv_diff_host_rate],nll[dst_host_serror_rate],nll[dst_host_srv_serror_rate],nll[dst_host_rerror_rate],nll[dst_host_srv_rerror_rate]
dos,7458,32.0097,38.1350,-6.1253,0.4656,0.5799,8.7607,3.4212,1.3807,1.3225,0.0090,0.2939,0.0002,0.2094,0.0012,1.1041,0.2185,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.4420,1.4099,1.1015,1.0390,1.6389,1.5500,0.0000,1.7080,0.3161,0.7016,1.0356,1.0698,1.1609,0.6770,0.2350,0.9971,0.9860,1.6606,1.6041
normal,9711,9.2501,14.3956,-5.1455,0.2138,0.5313,1.3541,0.1194,1.3862,1.3874,0.0001,0.2446,0.0002,0.0455,0.0047,0.5599,0.0159,0.0136,0.0035,0.0126,0.0073,0.0004,0.0334,0.0000,0.0318,1.4023,1.4042,0.0684,0.0781,0.0738,0.0832,0.0000,0.1639,0.5929,1.0131,0.4443,0.4408,0.4069,0.9765,0.4782,0.2036,0.1584,0.2747,0.1666
probe,2421,32.6017,37.3761,-4.7744,0.3451,0.7850,7.1120,3.2446,1.3756,1.3182,0.0001,0.0000,0.0002,0.0170,0.0012,1.1920,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.3867,1.2131,1.1824,0.6966,2.0297,1.8938,0.0000,1.7998,0.7431,0.9227,1.3327,1.2595,1.2538,0.9543,0.4627,1.0540,0.5196,1.6427,1.5967
r2l,2754,20.1021,22.3509,-2.2487,1.2255,0.5069,4.4315,0.1459,1.3791,1.3662,0.0001,0.0000,0.0033,0.8140,1.1512,0.8210,0.0139,0.0199,0.0015,0.0381,0.0159,0.0061,0.0263,0.0307,0.9752,1.2669,1.0823,0.0481,0.0485,0.0992,0.0918,0.0000,0.1565,0.2966,0.8977,0.8583,0.7069,0.6344,0.8234,0.4157,0.2925,0.1895,1.0090,0.4611
u2r,200,17.3087,31.4624,-14.1536,0.7250,0.2288,3.4733,1.8566,1.3818,1.3416,0.0001,0.0000,0.3960,0.9519,0.1023,0.9989,0.8092,0.8793,0.0340,0.5706,0.8387,0.6626,0.2383,0.2412,0.0117,1.2228,0.9916,0.0361,0.0379,1.7538,1.6871,0.0000,0.3063,0.2921,0.9346,1.3498,1.3175,0.7884,0.7926,0.2966,0.2793,0.1939,1.6953,1.7447
